paper_references,keywords,max_delta,avg_delta,min_delta,avg_trend,max_trend,min_trend,peso_fonte,class
41,24,0,0.0000,0,40.0000,92,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
34,20,0,0.0000,0,54.6500,92,0,10,relevant
0,3,2,0.0000,-3,84.3333,100,58,10,relevant
3,9,0,0.0000,0,57.6667,100,0,8,relevant
0,7,0,-2.8571,-9,41.8571,100,0,10,relevant
0,7,0,-22.5714,-88,77.5714,100,0,10,relevant
0,3,0,0.0000,0,84.3333,97,59,10,relevant
0,4,0,-2.7500,-8,48.2500,100,0,10,relevant
52,12,0,0.0000,0,51.7500,100,0,10,relevant
0,16,0,0.0000,0,49.3750,100,0,10,relevant
0,2,0,0.0000,0,75.0000,79,71,1,relevant
0,7,0,-0.8571,-3,20.7143,93,0,10,relevant
26,8,0,0.0000,0,22.1250,95,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,9,relevant
41,11,0,0.0000,0,33.4545,98,0,10,relevant
60,8,0,0.0000,0,54.8750,98,0,8,relevant
0,9,2,-2.8889,-13,57.4444,100,0,10,relevant
0,7,0,0.0000,0,50.4286,100,0,10,relevant
171,11,0,0.0000,0,26.7273,92,0,10,relevant
0,5,31,1.6000,-12,68.2000,100,0,10,relevant
82,12,0,0.0000,0,22.2500,98,0,10,relevant
0,3,0,0.0000,0,84.3333,97,59,10,relevant
22,8,0,0.0000,0,65.1250,92,0,10,relevant
0,3,7,-2.0000,-9,88.0000,100,71,10,relevant
36,17,0,0.0000,0,39.5294,100,0,9,relevant
0,9,2,-1.1111,-10,39.2222,100,0,8,relevant
