Methodo,Strategy,estimator,accvar10,accvar20,Base
Bagging 0.8,70/30,AD,0.6913319238900634,0.7197221383267894,
Bagging 0.8,70/30,k-NN,0.7139836907278768,0.7197221383267894,
Bagging 0.8,70/30,NB,0.6043491392328602,0.6109936575052854,
Bagging 0.8,70/30,MLP,0.7012987012987013,0.7139836907278768,
Random Florest,10-fold,gini,0.7108936015950698,0.7268442994381004,
Random Florest,90/10,gini,0.7137681159420289,0.730072463768116,
Random Florest,80/20,gini,0.7059356592659719,0.7195287720888084,
Random Florest,70/30,gini,0.7000906070673513,0.7170039263062519,
Random Florest,10-fold,entropy,0.7052746057640022,0.7269349284031177,
Random Florest,90/10,entropy,0.7028985507246377,0.7291666666666666,
Random Florest,80/20,entropy,0.7027639329406434,0.7222473946533756,
Random Florest,70/30,entropy,0.6961643008154637,0.721836303231652,
Random Florest,10-fold,log_loss,0.7052746057640022,0.7269349284031177,
Random Florest,90/10,log_loss,0.7028985507246377,0.7291666666666666,
Random Florest,80/20,log_loss,0.7027639329406434,0.7222473946533756,
Random Florest,70/30,log_loss,0.6961643008154637,0.721836303231652,
Staking,10-fold,10, 0.7033713974986406,,
Staking,90/10,10, 0.7364130434782609,,
